what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1531922804366
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1531922804366
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1531922804366
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1531922804371
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1531922804371
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1531922804371
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1531922804371
os,sysinfo,,,"win32",1531922804381
arch,sysinfo,,,"x86",1531922804381
ws,sysinfo,,,"win32",1531922804386
locale,sysinfo,,,"en_US",1531922804386
processors,sysinfo,,,"4",1531922804386
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1531922804386
java.runtime.version,sysinfo,,,"1.8.0_171-b11",1531922804386
java.specification.name,sysinfo,,,"Java Platform API Specification",1531922804386
java.specification.vendor,sysinfo,,,"Oracle Corporation",1531922804386
java.specification.version,sysinfo,,,"1.8",1531922804386
java.vendor,sysinfo,,,"Oracle Corporation",1531922804386
java.version,sysinfo,,,"1.8.0_171",1531922804386
java.vm.info,sysinfo,,,"mixed mode",1531922804386
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1531922804386
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1531922804386
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1531922804386
java.vm.specification.version,sysinfo,,,"1.8",1531922804386
java.vm.vendor,sysinfo,,,"Oracle Corporation",1531922804386
java.vm.version,sysinfo,,,"25.171-b11",1531922804386
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1531922804411
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1531922804511
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531922807028
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1531922807293
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1531922810513
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1531922811088
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531922824403
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1531922824413
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531922871118
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531922876623
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.generate.javadoc",1531922876638
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531922880373
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531922892108
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.properties",1531922892128
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531922916048
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531922930583
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.properties",1531922930598
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1531922933803
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531922943076
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531922944211
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531922944341
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1531922944391
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1531922944536
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1531922944606
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531922958598
started,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1531922967033
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1531922968236
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1531922979493
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1531923059241
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1531923059286
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1531923068643
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1531923071868
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1531923100686
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1531923109467
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1531923117069
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1531923117249
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531923131174
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531923470125
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531923484420
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1531923490182
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531923496970
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1531923496987
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531923497907
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531923520910
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531923530748
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531923640048
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1531923640133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531923662858
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531923980798
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531923987692
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531924095573
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1531924095702
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531924111031
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531924160909
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531924162224
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531924307492
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531924311092
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531924367813
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1531924368005
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531924372046
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531924502581
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531924507441
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531924538986
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1531924539105
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531924540672
