what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1532427887932
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1532427887932
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1532427887932
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1532427887932
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1532427887947
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1532427887947
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1532427887947
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1532427887947
os,sysinfo,,,"win32",1532427887963
arch,sysinfo,,,"x86",1532427887963
ws,sysinfo,,,"win32",1532427887963
locale,sysinfo,,,"en_US",1532427887963
processors,sysinfo,,,"4",1532427887963
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1532427887963
java.runtime.version,sysinfo,,,"1.8.0_181-b13",1532427887963
java.specification.name,sysinfo,,,"Java Platform API Specification",1532427887963
java.specification.vendor,sysinfo,,,"Oracle Corporation",1532427887963
java.specification.version,sysinfo,,,"1.8",1532427887963
java.vendor,sysinfo,,,"Oracle Corporation",1532427887963
java.version,sysinfo,,,"1.8.0_181",1532427887963
java.vm.info,sysinfo,,,"mixed mode",1532427887963
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1532427887963
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1532427887963
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1532427887963
java.vm.specification.version,sysinfo,,,"1.8",1532427887963
java.vm.vendor,sysinfo,,,"Oracle Corporation",1532427887963
java.vm.version,sysinfo,,,"25.181-b13",1532427887963
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1532427887979
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1532427889008
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1532427891161
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1532427893669
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1532427914683
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1532427998907
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1532427999656
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1532427999984
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1532428002090
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1532428002386
