what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534951142543
closed,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1534951142648
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534951142703
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534951155178
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534951171233
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1534951174928
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534951177183
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534951177488
error,log,,,"Invalid ZIP archive: src/ExcHl.java [in ExceptionH]",1534951178248
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1534951179588
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1534951188041
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534951189521
closed,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1534951189596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534951189636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534951198611
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534951212401
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1534951217941
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534951226921
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534951227016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534951227536
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534951232031
error,log,,,"Invalid ZIP archive: src/ExcHl.java [in ExceptionH]",1534951233001
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534951234841
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534951234911
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534951235301
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534951247131
error,log,,,"Invalid ZIP archive: src/ExcHl.java [in ExceptionH]",1534951247696
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1534951250461
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534951259746
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534951274012
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534951279622
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534951422912
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534951427687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534951835813
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534951836543
