what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1528985751811
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1528985751811
os,sysinfo,,,"win32",1528985751821
arch,sysinfo,,,"x86",1528985751821
ws,sysinfo,,,"win32",1528985751821
locale,sysinfo,,,"en_US",1528985751821
processors,sysinfo,,,"4",1528985751821
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1528985751821
java.runtime.version,sysinfo,,,"1.8.0_162-b12",1528985751821
java.specification.name,sysinfo,,,"Java Platform API Specification",1528985751821
java.specification.vendor,sysinfo,,,"Oracle Corporation",1528985751821
java.specification.version,sysinfo,,,"1.8",1528985751821
java.vendor,sysinfo,,,"Oracle Corporation",1528985751821
java.version,sysinfo,,,"1.8.0_162",1528985751821
java.vm.info,sysinfo,,,"mixed mode",1528985751821
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1528985751821
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1528985751821
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1528985751821
java.vm.specification.version,sysinfo,,,"1.8",1528985751821
java.vm.vendor,sysinfo,,,"Oracle Corporation",1528985751821
java.vm.version,sysinfo,,,"25.162-b12",1528985751821
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1528985751856
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1528985753271
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1528985756591
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1528985788886
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1528985793471
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1528985793476
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1528985794851
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1528985794881
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1528985799566
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1528985813796
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1528985813941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1528985815916
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1528985818801
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1528985819086
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1528985819216
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1528985824671
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1528985827546
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1528985832401
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1528985833766
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1528985834511
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1528985838016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1528985850996
